#Name	PubChem	Cetane
"2-tetrahydrofurfuryl alcohol"	7360	17.9
"4-propylguaiacol"	17739	18
"guaiacol"	460	19
"Linalool"	6549	20
"4-methyl guaiacol"	7144	20
"4-ethyl guaiacol"	62465	20
"2,3 dihydrofuran"	70934	20
"4-heptanol"	11513	21
"tetrahydrofuran"	8028	21.9
"2-methyl tetrahydrofuran"	7301	22
"geraniol"	637566	22
"farnesene"	5281516	22
"farnesol"	445070	24
"2-heptanol"	10976	25
"Ocimene"	18756	28
"4-nonanol"	22217	28
"Ethyl hexanoate"	31265	28
"2-ethyl tetrahydrofuran"	102538	28
"Hexyl butyrate"	17525	29
"caryophyllene"	5322111	29
"Butyl hexanoate"	12294	31
"1,1 diethoxyethane (acetal)"	7765	40
"Hexyl hexanoate"	22873	40
"4-nonanone"	78236	43
"2-butyl tetrahydrofuran"	13861	45.5
"6-undecanone"	13561	49
"Diisoamylether"	10989	96
"dipentyl ether"	12743	111
