KRFP1054	[!#1][NH]c1[cH][cH]c(N=Nc2[cH][cH][cH][cH]c2[CH3])[cH]c1[CH3]
KRFP1055	[!#1][NH]c1[cH][cH]c(O[!#1])[cH][cH]1
KRFP1056	[!#1][NH]c1[cH][cH]c(O[!#1])[cH]c1[N+](=O)[O-]
KRFP1057	[!#1][NH]c1[cH][cH]c(O[CH3])nn1
KRFP1058	[!#1][NH]c1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1
KRFP1059	[!#1][NH]c1[cH][cH]c2[cH][cH][cH]c([OH])c2n1
KRFP106	[!#1][CH]([NH]C(=O)[!#1])C(Cl)(Cl)Cl
KRFP1060	[!#1][NH]c1[cH][cH]c2[CH2][CH2]c3[cH][cH][cH][cH]c3N([!#1])c2[cH]1
KRFP1061	[!#1][NH]c1[cH][cH]c2c([cH]1)oc3[cH][cH][cH][cH]c32
KRFP1062	[!#1][NH]c1[cH][cH]c2nc([!#1])[nH]c2[cH]1
KRFP1063	[!#1][NH]c1[cH][cH]c2nonc2c1[N+](=O)[O-]
KRFP1064	[!#1][NH]c1[cH][cH]c2O[CH2]Oc2[cH]1
KRFP1065	[!#1][NH]c1[cH][cH]c2oc([!#1])nc2[cH]1
KRFP1066	[!#1][NH]c1[cH][cH]n[cH][cH]1
KRFP1067	[!#1][NH]c1[cH][cH]nc2[cH]c3[cH][cH][cH][cH]c3[cH]c12
KRFP1068	[!#1][NH]c1[cH]c([!#1])nc2[cH][cH][cH][cH]c12
KRFP1069	[!#1][NH]c1[cH]c([cH][cH]c1[CH3])[N+](=O)[O-]
KRFP107	[!#1][CH]([NH]C(=O)[CH2][CH2][CH2][CH2][CH3])C(Cl)(Cl)Cl
KRFP1070	[!#1][NH]c1[cH]c([cH][cH]c1C(=O)[OH])[N+](=O)[O-]
KRFP1071	[!#1][NH]c1[cH]c([cH][cH]c1Cl)C(F)(F)F
KRFP1072	[!#1][NH]c1[cH]c([cH]c([cH]1)[N+](=O)[O-])C(=O)[OH]
KRFP1073	[!#1][NH]c1[cH]c([cH]c([cH]1)C(=O)[OH])C(=O)[OH]
KRFP1074	[!#1][NH]c1[cH]c([CH3])[cH][cH]c1[CH3]
KRFP1075	[!#1][NH]c1[cH]c([CH3])[cH][cH]n1
KRFP1076	[!#1][NH]c1[cH]c([CH3])[cH]c([CH3])[cH]1
KRFP1077	[!#1][NH]c1[cH]c([CH3])nc2[cH][cH][cH][cH]c12
KRFP1078	[!#1][NH]c1[cH]c(Cl)[cH][cH]c1Cl
KRFP1079	[!#1][NH]c1[cH]c(Cl)[cH][cH]c1O[!#1]
KRFP108	[!#1][CH]([NH]S(=O)(=O)[!#1])C(Cl)(Cl)Cl
KRFP1080	[!#1][NH]c1[cH]c(O[!#1])c(O[!#1])[cH]c1C(=O)[!#1]
KRFP1081	[!#1][NH]c1[cH]c(O[CH3])nc(O[CH3])n1
KRFP1082	[!#1][NH]c1[cH]nc2[cH][cH][cH][cH]c2[cH]1
KRFP1083	[!#1][NH]c1[nH]nc([CH3])c1[N+](=O)[O-]
KRFP1084	[!#1][NH]C1=[CH]C(=O)c2[cH][cH][cH][cH]c2C1=O
KRFP1085	[!#1][NH]c1c([cH][cH]c2nonc12)[N+](=O)[O-]
KRFP1086	[!#1][NH]c1c([cH]c([cH]c1[N+](=O)[O-])[N+](=O)[O-])C(=O)[OH]
KRFP1087	[!#1][NH]c1c([cH]c([cH]c1[N+](=O)[O-])C(=O)[OH])[N+](=O)[O-]
KRFP1088	[!#1][NH]c1c([cH]c([N+](=O)[O-])c2[cH][cH][cH][cH]c12)[N+](=O)[O-]
KRFP1089	[!#1][NH]c1c([CH3])[cH][cH][cH]c1[CH3]
KRFP109	[!#1][CH]([NH2])[CH2][CH3]
KRFP1090	[!#1][NH]c1c([CH3])[cH]c([CH3])[cH]c1[CH3]
KRFP1091	[!#1][NH]c1c([CH3])c([CH2][CH3])nc2[cH][cH][cH][cH]c12
KRFP1092	[!#1][NH]c1c([CH3])n([!#1])n([!#1])c1=O
KRFP1093	[!#1][NH]c1c([N+](=O)[O-])c(=O)oc2[cH][cH][cH][cH]c12
KRFP1094	[!#1][NH]c1c2[cH][cH][cH][cH]c2nc3[cH][cH][cH][cH]c13
KRFP1095	[!#1][NH]c1c2[CH2][CH2][CH2]c2nc3[cH][cH][cH][cH]c13
KRFP1096	[!#1][NH]c1c2[CH2][CH2][CH2]c2nc3[CH2][CH2][CH2][CH2]c13
KRFP1097	[!#1][NH]c1n[cH][cH][cH]n1
KRFP1098	[!#1][NH]c1n[cH][cH]nc1O[CH3]
KRFP1099	[!#1][NH]c1n[cH][cH]s1
KRFP11	[!#1][CH]([!#1])[CH2]C(=O)[CH2][CH3]
KRFP110	[!#1][CH]([NH2])[CH2]C(=O)[OH]
KRFP1100	[!#1][NH]c1n[cH][nH]n1
KRFP1101	[!#1][NH]c1n[cH]nc2n([!#1])[cH]nc12
KRFP1102	[!#1][NH]c1n[cH]nc2sc3[CH2][CH2][CH2][CH2]c3c12
KRFP1103	[!#1][NH]c1n[nH]c(=O)[nH]c1=O
KRFP1104	[!#1][NH]c1nc([!#1])[cH]s1
KRFP1105	[!#1][NH]c1nc([!#1])nc([!#1])n1
KRFP1106	[!#1][NH]c1nc([!#1])nc(Cl)n1
KRFP1107	[!#1][NH]c1nc([!#1])nc(n1)N2[CH2][CH2]O[CH2][CH2]2
KRFP1108	[!#1][NH]c1nc([!#1])nc(O[CH](C(F)(F)F)C(F)(F)F)n1
KRFP1109	[!#1][NH]c1nc([cH]s1)c2[cH][cH][cH][cH][cH]2
KRFP111	[!#1][CH]([NH2])C(=O)[OH]
KRFP1110	[!#1][NH]c1nc([cH]s1)c2[cH][cH]c([!#1])[cH][cH]2
KRFP1111	[!#1][NH]c1nc([CH3])[cH]c([CH3])n1
KRFP1112	[!#1][NH]c1nc(Cl)nc(Cl)n1
KRFP1113	[!#1][NH]c1nc(O[CH](C(F)(F)F)C(F)(F)F)nc(O[CH](C(F)(F)F)C(F)(F)F)n1
KRFP1114	[!#1][NH]c1nc2[cH][cH][cH][cH]c2n1[!#1]
KRFP1115	[!#1][NH]c1nc2[cH][cH][cH][cH]c2nc1[!#1]
KRFP1116	[!#1][NH]c1nc2[cH][cH][cH][cH]c2nc1[NH][!#1]
KRFP1117	[!#1][NH]c1nc2[cH][cH][cH][cH]c2s1
KRFP1118	[!#1][NH]c1nc2[CH2][CH2][CH2][CH2]c2s1
KRFP1119	[!#1][NH]c1nc2nonc2nc1[!#1]
KRFP112	[!#1][CH]([OH])[CH]([NH2])[CH2][OH]
KRFP1120	[!#1][NH]c1nnc([CH2][CH3])s1
KRFP1121	[!#1][NH]c1nnc([CH3])s1
KRFP1122	[!#1][NH]c1sc([CH3])c([CH3])c1C(=O)[!#1]
KRFP1123	[!#1][NH]c1sc2[CH2][CH2][CH2][CH2]c2c1C(=O)[!#1]
KRFP1124	[!#1][NH]N([!#1])[!#1]
KRFP1125	[!#1][NH]N=[CH][!#1]
KRFP1126	[!#1][NH]N=C([!#1])[!#1]
KRFP1127	[!#1][NH]N=C([!#1])[CH3]
KRFP1128	[!#1][NH]N=C([!#1])N=N[!#1]
KRFP1129	[!#1][NH]N=C1C(=N[NH]C1=O)[!#1]
KRFP113	[!#1][CH]([OH])[CH2][NH]C(=O)[!#1]
KRFP1130	[!#1][NH]N=C1C(=NN(C1=O)c2[cH][cH][cH][cH][cH]2)[!#1]
KRFP1131	[!#1][NH]N=C1C(=NN(C1=O)c2nc([cH]s2)c3[cH][cH][cH][cH][cH]3)[!#1]
KRFP1132	[!#1][NH]N=C1C(=O)[NH]C(=O)[NH]C1=O
KRFP1133	[!#1][NH]N=C1C(=O)[NH]C(=S)[NH]C1=O
KRFP1134	[!#1][NH]N=N[!#1]
KRFP1135	[!#1][NH]n1[cH]nn[cH]1
KRFP1136	[!#1][NH]P(=O)(O[CH]([CH3])[CH3])O[CH]([CH3])[CH3]
KRFP1137	[!#1][NH]P(=O)(O[CH2][CH]([CH3])[CH3])O[CH2][CH]([CH3])[CH3]
KRFP1138	[!#1][NH]P(=O)(O[CH2][CH3])O[CH2][CH3]
KRFP1139	[!#1][NH]S(=O)(=O)[!#1]
KRFP114	[!#1][CH]([OH])[CH2][NH2]
KRFP1140	[!#1][NH]S(=O)(=O)[CH2][CH]=[CH2]
